,SaleDollarCnt
428,625000.0
429,535100.0
430,480000.0
431,430000.0
432,1070000.0
433,1000000.0
434,1550000.0
435,825000.0
436,1320000.0
437,1150000.0
438,1390000.0
439,500000.0
440,435000.0
441,1165000.0
442,525000.0
443,600000.0
444,501000.0
445,666000.0
446,320000.0
447,600000.0
448,550000.0
449,500000.0
450,563000.0
451,717000.0
452,560000.0
453,920000.0
454,682000.0
455,425000.0
456,595000.0
457,507116.0
458,1000700.0
459,775000.0
460,765000.0
461,495000.0
462,853000.0
463,729500.0
464,1150000.0
465,706750.0
466,832600.0
467,990000.0
468,1190000.0
469,1284567.0
470,350000.0
471,375000.0
472,530000.0
473,609000.0
474,532000.0
475,486000.0
476,535600.0
477,473000.0
478,445000.0
479,400000.0
480,240450.0
481,359950.0
482,366000.0
483,579000.0
484,265000.0
485,195000.0
486,300000.0
487,235000.0
488,235000.0
489,358800.0
490,745000.0
491,550000.0
492,600000.0
493,550000.0
494,700000.0
495,649950.0
496,513000.0
497,485000.0
498,3950000.0
499,1937991.0
500,800000.0
501,1382000.0
502,1170000.0
503,1050000.0
504,700000.0
505,600000.0
506,628500.0
507,509000.0
508,948000.0
509,786000.0
510,390000.0
511,325000.0
512,411000.0
513,403000.0
514,302000.0
515,250000.0
516,282950.0
517,348500.0
518,375500.0
519,340000.0
520,325000.0
521,1208000.0
522,3725000.0
523,621500.0
524,487000.0
525,422500.0
526,735000.0
527,727000.0
528,915000.0
529,415000.0
530,390000.0
531,481000.0
532,1225000.0
533,757000.0
534,675000.0
535,550000.0
536,739000.0
537,895000.0
538,1277000.0
539,770000.0
540,1275000.0
541,661500.0
542,830200.0
543,876000.0
544,863000.0
545,872500.0
546,460000.0
547,648000.0
548,625000.0
549,555000.0
550,342000.0
551,795750.0
552,550000.0
553,600000.0
554,500000.0
555,305000.0
556,272500.0
557,575000.0
558,335000.0
559,340000.0
560,453000.0
561,205000.0
562,338900.0
563,256000.0
564,350500.0
565,448000.0
566,430000.0
567,750000.0
568,355000.0
569,490000.0
570,750000.0
571,640000.0
572,450000.0
573,260000.0
574,179950.0
575,282500.0
576,395000.0
577,313950.0
578,408000.0
579,1375000.0
580,425000.0
581,249950.0
582,809000.0
583,1125000.0
584,774000.0
585,1051000.0
586,986000.0
587,1150000.0
588,855000.0
589,397950.0
590,330000.0
591,650000.0
592,820000.0
593,750000.0
594,742000.0
595,794500.0
596,1000000.0
597,1410000.0
598,1020000.0
599,870000.0
600,870500.0
601,1000000.0
602,979000.0
603,1119880.0
604,1395000.0
605,650000.0
606,741000.0
607,729990.0
608,750000.0
609,770000.0
610,838980.0
611,548000.0
612,1950000.0
613,266750.0
614,250000.0
615,231000.0
616,2500000.0
617,537000.0
618,620000.0
619,560000.0
620,640000.0
621,610000.0
622,1780000.0
623,329000.0
624,685000.0
625,900000.0
626,440000.0
627,505000.0
628,442000.0
629,1380000.0
630,900000.0
631,3950000.0
632,605000.0
633,600000.0
634,593450.0
635,603000.0
636,628000.0
637,670000.0
638,545000.0
639,678000.0
640,560000.0
641,660000.0
642,605000.0
643,899950.0
644,1080000.0
645,999950.0
646,525000.0
647,615000.0
648,622000.0
649,560000.0
650,395000.0
651,426000.0
652,385000.0
653,324000.0
654,380000.0
655,366000.0
656,344950.0
657,359900.0
658,312500.0
659,367500.0
660,335000.0
661,990000.0
662,1075000.0
663,2488000.0
664,2150000.0
665,629000.0
666,320599.0
667,1387000.0
668,706600.0
669,636635.0
670,730000.0
671,459000.0
672,349950.0
673,245000.0
674,444000.0
675,523000.0
676,399532.0
677,260000.0
678,1005000.0
679,303700.0
680,195000.0
681,210000.0
682,330000.0
683,285000.0
684,272600.0
685,369950.0
686,325000.0
687,126500.0
688,309000.0
689,429950.0
690,329950.0
691,1247000.0
692,2394000.0
693,585000.0
694,650000.0
695,312000.0
696,410000.0
697,635000.0
698,310000.0
699,499000.0
700,425000.0
701,475000.0
702,1010000.0
703,4250000.0
704,251600.0
705,250000.0
706,404000.0
707,296500.0
708,385000.0
709,287000.0
710,375000.0
711,765000.0
712,385000.0
713,225000.0
714,359000.0
715,594950.0
716,406000.0
717,425000.0
718,280250.0
719,320000.0
720,385000.0
721,450000.0
722,543000.0
723,576000.0
724,449800.0
725,415000.0
726,547000.0
727,560000.0
728,220000.0
729,330000.0
730,243000.0
731,343000.0
732,270950.0
733,209950.0
734,369900.0
735,360000.0
736,300000.0
737,468000.0
738,453000.0
739,455000.0
740,414000.0
741,453350.0
742,423000.0
743,810000.0
744,905000.0
745,785000.0
746,716000.0
747,1385000.0
748,1065000.0
749,830000.0
750,375000.0
751,379000.0
752,415000.0
753,455000.0
754,777700.0
755,463500.0
756,276000.0
757,349900.0
758,665000.0
759,1350000.0
760,350000.0
761,1541000.0
762,759900.0
763,729950.0
764,550000.0
765,350000.0
766,960000.0
767,6400000.0
768,1095500.0
769,440000.0
770,699000.0
771,649000.0
772,920000.0
773,610000.0
774,735000.0
775,588000.0
776,850000.0
777,829300.0
778,785000.0
779,707000.0
780,525000.0
781,465000.0
782,560000.0
783,507000.0
784,500000.0
785,483000.0
786,602576.0
787,773800.0
788,234000.0
789,280000.0
790,325000.0
791,234900.0
792,320900.0
793,6795000.0
794,2408000.0
795,1180500.0
796,1600000.0
797,370000.0
798,2900000.0
799,1750000.0
800,1580000.0
801,780000.0
802,918000.0
803,1740000.0
804,1095000.0
805,936000.0
806,1300000.0
807,1210000.0
808,1395000.0
809,1800000.0
810,812000.0
811,800000.0
812,770000.0
813,316500.0
814,550000.0
815,219950.0
816,235000.0
817,360100.0
818,730000.0
819,297500.0
820,310000.0
821,293500.0
822,556000.0
823,400000.0
824,243950.0
825,560000.0
826,386000.0
827,389950.0
828,395000.0
829,199000.0
830,710000.0
831,670000.0
832,214000.0
833,200000.0
834,360000.0
835,580000.0
836,512000.0
837,580000.0
838,950000.0
839,715000.0
840,465000.0
841,950000.0
842,785000.0
843,1500000.0
844,895000.0
845,568000.0
846,805500.0
847,415000.0
848,485000.0
849,465000.0
850,435000.0
851,760000.0
852,325000.0
853,501000.0
854,386400.0
855,556500.0
856,562000.0
857,598000.0
858,532500.0
859,490000.0
860,385000.0
861,522000.0
862,505000.0
863,675000.0
864,385000.0
865,390000.0
866,859000.0
867,890000.0
868,780000.0
869,286000.0
870,304000.0
871,319900.0
872,305000.0
873,302500.0
874,300000.0
875,364100.0
876,275000.0
877,279000.0
878,322450.0
879,338000.0
880,325000.0
881,187900.0
882,285000.0
883,229900.0
884,657500.0
885,605000.0
886,264000.0
887,275000.0
888,560000.0
889,538000.0
890,359000.0
891,285000.0
892,348500.0
893,305000.0
894,417500.0
895,175000.0
896,500950.0
897,443000.0
898,390000.0
899,437000.0
900,210000.0
901,365000.0
902,1057500.0
903,244000.0
904,798000.0
905,339950.0
906,1350000.0
907,499000.0
908,1195000.0
909,920000.0
910,562000.0
911,636000.0
912,525000.0
913,740000.0
914,579000.0
915,619500.0
916,855000.0
917,760000.0
918,413100.0
919,965000.0
920,660888.0
921,630000.0
922,720000.0
923,906000.0
924,402000.0
925,365000.0
926,975000.0
927,639500.0
928,675000.0
929,697000.0
930,690000.0
931,796000.0
932,710000.0
933,1824100.0
934,1670000.0
935,615000.0
936,600000.0
937,282000.0
938,235000.0
939,240000.0
940,455000.0
941,580000.0
942,620000.0
943,613000.0
944,915000.0
945,623500.0
946,1999000.0
947,2055000.0
948,960000.0
949,1200000.0
950,2795000.0
951,444000.0
952,365000.0
953,400000.0
954,381000.0
955,450000.0
956,320000.0
957,365000.0
958,389000.0
959,353000.0
960,385000.0
961,450000.0
962,334900.0
963,395000.0
964,370000.0
965,367500.0
966,405000.0
967,529000.0
968,385000.0
969,855000.0
970,682000.0
971,660000.0
972,1200000.0
973,300000.0
974,1100000.0
975,686000.0
976,704500.0
977,650000.0
978,610000.0
979,625000.0
980,590000.0
981,1175000.0
982,970000.0
983,925000.0
984,402000.0
985,287500.0
986,776000.0
987,275000.0
988,240000.0
989,234000.0
990,221000.0
991,320000.0
992,300000.0
993,300000.0
994,704000.0
995,712500.0
996,975000.0
997,951000.0
998,440750.0
999,482000.0
1000,457750.0
1001,320000.0
1002,349500.0
1003,425000.0
1004,320000.0
1005,543388.0
1006,540000.0
1007,370000.0
1008,424950.0
1009,597700.0
1010,715000.0
1011,500000.0
1012,189000.0
1013,363000.0
1014,365000.0
1015,950000.0
1016,595000.0
1017,480000.0
1018,336000.0
1019,844000.0
1020,938500.0
1021,1167000.0
1022,850000.0
1023,537000.0
1024,1775000.0
1025,1925000.0
1026,3400000.0
1027,3000000.0
1028,1575000.0
1029,1475000.0
1030,1995000.0
1031,875000.0
1032,577000.0
1033,535000.0
1034,500000.0
1035,595000.0
1036,285000.0
1037,660000.0
1038,395000.0
1039,435000.0
1040,850000.0
1041,637000.0
1042,935000.0
1043,700000.0
1044,753000.0
1045,781000.0
1046,825000.0
1047,1500000.0
1048,420000.0
1049,1160000.0
1050,1200000.0
1051,1268888.0
1052,1975000.0
1053,2466000.0
1054,593000.0
1055,490900.0
1056,450000.0
1057,318000.0
1058,775000.0
1059,780000.0
1060,710000.0
1061,710000.0
1062,730000.0
1063,239900.0
1064,255000.0
1065,421000.0
1066,484000.0
1067,399000.0
1068,345000.0
1069,478000.0
1070,759950.0
1071,585000.0
1072,310000.0
1073,439500.0
1074,240000.0
1075,685000.0
1076,685000.0
1077,797000.0
1078,686000.0
1079,660000.0
1080,275000.0
1081,275000.0
1082,846000.0
1083,425000.0
1084,602500.0
1085,546000.0
1086,325000.0
1087,449000.0
1088,425000.0
1089,335000.0
1090,675000.0
1091,476950.0
1092,407000.0
1093,251000.0
1094,1055000.0
1095,1690000.0
1096,375000.0
1097,915000.0
1098,490000.0
1099,381900.0
1100,966000.0
1101,614000.0
1102,660000.0
1103,513088.0
1104,680000.0
1105,1300000.0
1106,689000.0
1107,875000.0
1108,950000.0
1109,309000.0
1110,229950.0
1111,230000.0
1112,350000.0
1113,225000.0
1114,180000.0
1115,310000.0
1116,625000.0
1117,450000.0
1118,423000.0
1119,420000.0
1120,670000.0
1121,640000.0
1122,945000.0
1123,708000.0
1124,740000.0
1125,825000.0
1126,580000.0
1127,545000.0
1128,579950.0
1129,269000.0
1130,455000.0
1131,295000.0
1132,372000.0
1133,357500.0
1134,310000.0
1135,450000.0
1136,400000.0
1137,525000.0
1138,300000.0
1139,405500.0
1140,1125000.0
1141,582000.0
1142,493000.0
1143,400000.0
1144,450000.0
1145,465000.0
1146,395000.0
1147,386000.0
1148,300000.0
1149,325000.0
1150,718000.0
1151,850000.0
1152,781000.0
1153,625000.0
1154,869000.0
1155,529000.0
1156,525000.0
1157,635000.0
1158,416100.0
1159,800000.0
1160,565000.0
1161,510000.0
1162,370000.0
1163,520000.0
1164,598117.0
1165,630000.0
1166,575000.0
1167,377100.0
1168,537000.0
1169,482450.0
1170,572500.0
1171,565000.0
1172,605300.0
1173,557000.0
1174,600000.0
1175,645000.0
1176,909950.0
1177,701888.0
1178,1700000.0
1179,980000.0
1180,1692866.0
1181,847000.0
1182,560000.0
1183,903500.0
1184,799000.0
1185,500000.0
1186,540000.0
1187,525000.0
1188,539000.0
1189,1090000.0
1190,725000.0
1191,649000.0
1192,870000.0
1193,840000.0
1194,1020000.0
1195,752000.0
1196,980000.0
1197,1060000.0
1198,905000.0
1199,587500.0
1200,700000.0
1201,885000.0
1202,660000.0
1203,620000.0
1204,1435000.0
1205,1510000.0
1206,618500.0
1207,1150000.0
1208,1515000.0
1209,665050.0
1210,735000.0
1211,530000.0
1212,658000.0
1213,830500.0
1214,702000.0
1215,799100.0
1216,555500.0
1217,799000.0
1218,3100000.0
1219,2217500.0
1220,725000.0
1221,1200000.0
1222,1220000.0
1223,985000.0
1224,1650000.0
1225,1615000.0
1226,1980000.0
1227,1910000.0
1228,642450.0
1229,1400000.0
1230,625000.0
1231,685000.0
1232,1450000.0
1233,555000.0
1234,630500.0
1235,698000.0
1236,1685000.0
1237,1429990.0
1238,872500.0
1239,735000.0
1240,1850000.0
1241,845550.0
1242,795000.0
1243,336000.0
1244,227500.0
1245,237200.0
1246,250000.0
1247,885000.0
1248,735000.0
1249,723000.0
1250,430000.0
1251,590000.0
1252,535000.0
1253,698000.0
1254,1215000.0
1255,980000.0
1256,355000.0
1257,515000.0
1258,501500.0
1259,440000.0
1260,429950.0
1261,482500.0
1262,525000.0
1263,440000.0
1264,510000.0
1265,265000.0
1266,357000.0
1267,391420.0
1268,315000.0
1269,298000.0
1270,396780.0
1271,316000.0
1272,324000.0
1273,371000.0
1274,327500.0
1275,337000.0
1276,347000.0
1277,293000.0
1278,372900.0
1279,340000.0
1280,285000.0
1281,247000.0
1282,1791500.0
1283,1100000.0
1284,1015000.0
1285,300000.0
1286,249900.0
1287,288000.0
1288,242500.0
1289,279400.0
1290,225000.0
1291,284900.0
1292,234000.0
1293,275000.0
1294,265000.0
1295,284000.0
1296,264950.0
1297,247000.0
1298,275000.0
1299,612500.0
1300,540000.0
1301,499000.0
1302,229999.0
1303,535000.0
1304,449000.0
1305,300000.0
1306,260000.0
1307,300000.0
1308,435000.0
1309,350000.0
1310,340000.0
1311,315000.0
1312,450000.0
1313,155000.0
1314,190000.0
1315,250000.0
1316,915000.0
1317,489950.0
1318,635000.0
1319,910500.0
1320,1000000.0
1321,691100.0
1322,755000.0
1323,425000.0
1324,378000.0
1325,560000.0
1326,820000.0
1327,593000.0
1328,500000.0
1329,423500.0
1330,1075000.0
1331,848000.0
1332,1250000.0
1333,1089000.0
1334,350000.0
1335,406500.0
1336,348500.0
1337,347500.0
1338,355000.0
1339,320000.0
1340,344000.0
1341,359500.0
1342,392000.0
1343,375000.0
1344,370000.0
1345,323000.0
1346,289000.0
1347,391000.0
1348,386000.0
1349,299000.0
1350,346500.0
1351,329950.0
1352,330490.0
1353,2571000.0
1354,356000.0
1355,313000.0
1356,339950.0
1357,1900000.0
1358,1860000.0
1359,2000000.0
1360,1785000.0
1361,1940000.0
1362,215500.0
1363,349900.0
1364,730000.0
1365,765000.0
1366,550000.0
1367,630000.0
1368,570000.0
1369,650000.0
1370,864000.0
1371,1250000.0
1372,836000.0
1373,393000.0
1374,1150000.0
1375,1265000.0
1376,1272500.0
1377,2043177.0
1378,915000.0
1379,925000.0
1380,885000.0
1381,1575000.0
1382,2730000.0
1383,1500000.0
1384,2450000.0
1385,2700000.0
1386,1365000.0
1387,1300000.0
1388,1800000.0
1389,250000.0
1390,209000.0
1391,225000.0
1392,227450.0
1393,231500.0
1394,860000.0
1395,826500.0
1396,460000.0
1397,556000.0
1398,1400000.0
1399,1300000.0
1400,2160000.0
1401,1152500.0
1402,1296000.0
1403,1220000.0
1404,1150000.0
1405,1000000.0
1406,842000.0
1407,747000.0
1408,1050000.0
1409,687500.0
1410,811500.0
1411,534658.0
1412,1525000.0
1413,715000.0
1414,649000.0
1415,1445000.0
1416,807000.0
1417,873000.0
1418,419000.0
1419,535500.0
1420,441000.0
1421,485000.0
1422,437000.0
1423,289000.0
1424,399000.0
1425,310000.0
1426,355000.0
1427,718000.0
1428,510000.0
1429,390000.0
1430,327000.0
1431,398000.0
1432,440000.0
1433,355000.0
1434,490000.0
1435,438000.0
1436,460000.0
1437,310000.0
1438,960000.0
1439,433000.0
1440,479000.0
1441,430000.0
1442,299950.0
1443,433105.0
1444,425000.0
1445,367795.0
1446,900000.0
1447,240000.0
1448,250100.0
1449,325000.0
1450,463000.0
1451,338500.0
1452,415000.0
1453,415000.0
1454,369000.0
1455,233500.0
1456,220000.0
1457,375000.0
1458,502900.0
1459,430000.0
1460,430000.0
1461,282000.0
1462,494000.0
1463,501000.0
1464,180000.0
1465,269000.0
1466,275000.0
1467,309950.0
1468,255000.0
1469,265000.0
1470,307500.0
1471,726500.0
1472,318500.0
1473,1650000.0
1474,875000.0
1475,548000.0
1476,1162000.0
1477,1600000.0
1478,725000.0
1479,1462000.0
1480,2015000.0
1481,550000.0
1482,894950.0
1483,455850.0
1484,519000.0
1485,589900.0
1486,530000.0
1487,880000.0
1488,550000.0
1489,585000.0
1490,469000.0
1491,312050.0
1492,250000.0
1493,335000.0
1494,310000.0
1495,250000.0
1496,245000.0
1497,276350.0
1498,190000.0
1499,310000.0
1500,242500.0
1501,250000.0
1502,280000.0
1503,319950.0
1504,263000.0
1505,356990.0
1506,299950.0
1507,320000.0
1508,282000.0
1509,320000.0
1510,705000.0
1511,751000.0
1512,750000.0
1513,630112.0
1514,365000.0
1515,505000.0
1516,433200.0
1517,426000.0
1518,415000.0
1519,390000.0
1520,539000.0
1521,350000.0
1522,490000.0
1523,449500.0
1524,499900.0
1525,600000.0
1526,499950.0
1527,360000.0
1528,335000.0
1529,325000.0
1530,236000.0
1531,280000.0
1532,400000.0
1533,570000.0
1534,837000.0
1535,900000.0
1536,538000.0
1537,186000.0
1538,259000.0
1539,280000.0
1540,273000.0
1541,465950.0
1542,295000.0
1543,277000.0
1544,215000.0
1545,290000.0
1546,242000.0
1547,220000.0
1548,258000.0
1549,330000.0
1550,239950.0
1551,352000.0
1552,201000.0
1553,218000.0
1554,241500.0
1555,534000.0
1556,445000.0
1557,1295000.0
1558,1002717.0
1559,1070000.0
1560,1032500.0
1561,1445000.0
1562,685000.0
1563,650000.0
1564,620000.0
1565,289000.0
1566,539000.0
1567,441000.0
1568,762000.0
1569,373000.0
1570,365000.0
1571,520000.0
1572,353000.0
1573,377490.0
1574,417500.0
1575,310000.0
1576,347950.0
1577,385000.0
1578,525000.0
1579,500000.0
1580,510000.0
1581,430500.0
1582,770000.0
1583,600000.0
1584,460000.0
1585,845000.0
1586,429000.0
1587,615000.0
1588,275900.0
1589,296950.0
1590,325000.0
1591,475000.0
1592,567000.0
1593,567000.0
1594,375000.0
1595,350900.0
1596,389950.0
1597,565000.0
1598,560000.0
1599,392500.0
1600,405000.0
1601,442000.0
1602,280000.0
1603,359900.0
1604,418000.0
1605,610000.0
1606,591450.0
1607,530000.0
1608,192168.0
1609,310000.0
1610,228000.0
1611,365000.0
1612,300000.0
1613,370000.0
1614,295000.0
1615,295500.0
1616,705000.0
1617,300000.0
1618,400000.0
1619,360000.0
1620,470000.0
1621,650000.0
1622,1050000.0
1623,324000.0
1624,639900.0
1625,689000.0
1626,760000.0
1627,3790000.0
1628,290000.0
1629,339000.0
1630,465000.0
1631,420000.0
1632,925000.0
1633,1400000.0
1634,930000.0
1635,1900000.0
1636,710000.0
1637,706000.0
1638,670000.0
1639,678000.0
1640,760000.0
1641,460000.0
1642,880000.0
1643,765000.0
1644,553000.0
1645,556000.0
1646,574000.0
1647,670000.0
1648,295000.0
1649,525000.0
1650,504000.0
1651,315000.0
1652,263000.0
1653,262000.0
1654,290000.0
1655,280000.0
1656,290000.0
1657,240000.0
1658,230000.0
1659,295000.0
1660,239000.0
1661,252000.0
1662,240000.0
1663,294000.0
1664,263500.0
1665,310000.0
1666,274000.0
1667,258000.0
1668,295000.0
1669,315000.0
1670,433200.0
1671,270500.0
1672,257800.0
1673,300000.0
1674,350000.0
1675,350000.0
1676,830000.0
1677,748000.0
1678,863000.0
1679,1120000.0
1680,870000.0
1681,712800.0
1682,367000.0
1683,563000.0
1684,689000.0
1685,655000.0
1686,585000.0
1687,535000.0
1688,475000.0
1689,525000.0
1690,430000.0
1691,256000.0
1692,236900.0
1693,262000.0
1694,246500.0
1695,675000.0
1696,340000.0
1697,210000.0
1698,487000.0
1699,469950.0
1700,473000.0
1701,455000.0
1702,375200.0
1703,450000.0
1704,600000.0
1705,597000.0
1706,395000.0
1707,395000.0
1708,395000.0
1709,398500.0
1710,600000.0
1711,520000.0
1712,557500.0
1713,610000.0
1714,600000.0
1715,1435000.0
1716,1330000.0
1717,425000.0
1718,650000.0
1719,635000.0
1720,605000.0
1721,635000.0
1722,455000.0
1723,915000.0
1724,1335000.0
1725,725000.0
1726,875000.0
1727,272000.0
1728,274900.0
1729,450000.0
1730,475000.0
1731,425000.0
1732,470000.0
1733,525500.0
1734,539009.0
1735,505000.0
1736,472370.0
1737,426500.0
1738,728000.0
1739,721000.0
1740,467000.0
1741,1475000.0
1742,260000.0
1743,325000.0
1744,409500.0
1745,630000.0
1746,580000.0
1747,675000.0
1748,606800.0
1749,520000.0
1750,262000.0
1751,264300.0
1752,315000.0
1753,250000.0
1754,288000.0
1755,230000.0
1756,329500.0
1757,330000.0
1758,944000.0
1759,775000.0
1760,771700.0
1761,800000.0
1762,441000.0
1763,633000.0
1764,489900.0
1765,450000.0
1766,400000.0
1767,423500.0
1768,362000.0
1769,255000.0
1770,455000.0
1771,250000.0
1772,215000.0
1773,325000.0
1774,265000.0
1775,326000.0
1776,510000.0
1777,325000.0
1778,328000.0
1779,442500.0
1780,267500.0
1781,439950.0
1782,475000.0
1783,330000.0
1784,280000.0
1785,505000.0
1786,975000.0
1787,975000.0
1788,829000.0
1789,735000.0
1790,313500.0
1791,515000.0
1792,249950.0
1793,360000.0
1794,621000.0
1795,730000.0
1796,800000.0
1797,757000.0
1798,425000.0
1799,499922.0
1800,349000.0
1801,295000.0
1802,622000.0
1803,730000.0
1804,665000.0
1805,720000.0
1806,1399000.0
1807,799950.0
1808,320000.0
1809,520000.0
1810,590000.0
1811,500000.0
1812,656000.0
1813,925000.0
1814,310000.0
1815,1100000.0
1816,455000.0
1817,273000.0
1818,583500.0
1819,242500.0
1820,255000.0
1821,565000.0
1822,425000.0
1823,1100100.0
1824,1280000.0
1825,2062200.0
1826,1988000.0
1827,2328000.0
1828,1350000.0
1829,655000.0
1830,680000.0
1831,670000.0
1832,399000.0
1833,385000.0
1834,425000.0
1835,432000.0
1836,275000.0
1837,323600.0
1838,715000.0
1839,320000.0
1840,790000.0
1841,206000.0
1842,240000.0
1843,325000.0
