PropertyID,SaleDollarCnt,TransDate,censusblockgroup,ZoneCodeCounty,Usecode,BedroomCnt,BathroomCnt,FinishedSquareFeet,GarageSquareFeet,LotSizeSquareFeet,StoryCnt,BuiltYear,ViewType,Latitude,Longitude,BGMedHomeValue,BGMedRent,BGMedYearBuilt,BGPctOwn,BGPctVacant,BGMedIncome,BGPctKids,BGMedAge
48649598,850000,9/11/2015,5.30E+11,R5,9,6,3.25,3730,700,7538,2,1991,79,47694007,-122102425,518100,1781,1992,0.5125,0,67650,0.192,58.4
48649672,730000,6/2/2015,5.30E+11,R4,9,3,2.5,2300,500,9000,2,1993,NA,47697919,-122101123,512200,NA,1994,0.977,0,137019,0.6054,36.3
48649684,795000,8/5/2015,5.30E+11,R4,9,4,3,2280,790,10102,2,1992,NA,47698772,-122100199,512200,NA,1994,0.977,0,137019,0.6054,36.3
48649700,730000,9/11/2015,5.30E+11,R4,9,3,2.5,2210,530,10926,2,1993,NA,47699296,-122101913,512200,NA,1994,0.977,0,137019,0.6054,36.3
48649777,812000,6/19/2015,5.30E+11,R4,9,3,2.5,2470,730,9001,2,1995,NA,47697811,-122115943,518100,1781,1992,0.5125,0,67650,0.192,58.4
48649784,787500,6/6/2015,5.30E+11,R4,9,4,2.75,3010,760,9005,2,1996,NA,47697922,-122115199,518100,1781,1992,0.5125,0,67650,0.192,58.4
48649812,275000,7/23/2015,5.30E+11,SF 5000,9,3,1,920,280,5085,1,1954,NA,47522935,-122332092,205700,1000,1963,0.4293,0,46154,0.4209,31.7
48649824,268000,6/6/2015,5.30E+11,SF 5000,9,2,1,1030,NA,7650,1,1950,NA,47522615,-122331005,205700,1000,1963,0.4293,0,46154,0.4209,31.7
48649878,219950,4/21/2015,5.30E+11,R7,9,3,2,1070,520,6601,1,1985,NA,47311453,-122208799,250600,933,1956,0.6612,0,46826,0.2564,39.7
48649908,152000,9/26/2015,5.30E+11,R7,9,1,1,670,NA,4453,1,1914,NA,47310314,-122210439,250600,933,1956,0.6612,0,46826,0.2564,39.7
48649979,460000,8/22/2015,5.30E+11,R6,9,3,2,1400,480,8400,1,1975,NA,47691270,-122116040,344500,1106,1992,0.4269,0.0272,67188,0.2365,35.4
48649982,547000,8/19/2015,5.30E+11,R6,9,4,3,2470,230,7800,1,1975,NA,47691284,-122115106,344500,1106,1992,0.4269,0.0272,67188,0.2365,35.4
48650009,632000,6/6/2015,5.30E+11,R6,9,4,2.75,1980,380,9800,1,1976,NA,47692160,-122116465,344500,1106,1992,0.4269,0.0272,67188,0.2365,35.4
48650061,610000,9/18/2015,5.30E+11,R4,9,3,2,2460,220,8625,1,1978,NA,47699347,-122119650,630000,1355,1994,0.3032,0,74831,0.2034,31.5
48650065,509000,5/30/2015,5.30E+11,R4,9,3,1.75,1820,220,9200,1,1978,NA,47699396,-122121031,630000,1355,1994,0.3032,0,74831,0.2034,31.5
48650174,1150000,7/2/2015,5.30E+11,R8.4,9,6,3.25,2660,525,7140,2,2010,NA,47573638,-122215844,621000,2001,1960,0.7631,0.0445,139375,0.3592,45.9
48650240,1038000,4/1/2015,5.30E+11,R8.4,9,5,2.75,3050,420,8904,1,1956,NA,47570850,-122214353,621000,2001,1960,0.7631,0.0445,139375,0.3592,45.9
48650272,460000,6/16/2015,5.30E+11,SF 5000,9,3,1.75,1540,510,4000,1,1961,NA,47530433,-122391879,576700,945,1953,0.7116,0,136544,0.1797,50.1
48650292,468900,8/11/2015,5.30E+11,SF 5000,9,3,2,1620,260,5500,1,1954,NA,47529515,-122391991,576700,945,1953,0.7116,0,136544,0.1797,50.1
48650312,480000,4/18/2015,5.30E+11,SF 5000,9,5,3,2240,NA,5500,1,1959,79,47530468,-122390765,497300,545,1956,0.8234,0.1036,103448,0.2375,49
48650512,380000,4/21/2015,5.30E+11,LDR,9,5,3,2130,420,8428,2,2013,NA,47472850,-122282011,245400,893,1975,0.4233,0.1248,42104,0.2853,37.5
48650755,224950,8/15/2015,5.30E+11,UM2400,9,3,1,1330,NA,8749,2,1928,NA,47467213,-122291693,289500,792,1965,0.3333,0.0642,50536,0.3603,39.6
48650786,330000,7/7/2015,5.30E+11,LDR,9,3,2,2290,540,6500,2,2014,NA,47467200,-122283929,313300,794,1980,0.2203,0.1006,31731,0.2864,33.4
48650963,1378400,6/27/2015,5.30E+11,R15,9,6,4,5240,NA,33403,2,1987,78,47567530,-122210612,954000,2001,1972,0.81,0.0733,147844,0.4896,42.3
48651093,245000,8/28/2015,5.30E+11,RS9.6,9,5,3,2180,520,12000,2,1961,NA,47328595,-122361301,316400,NA,1973,0.8947,0.0714,74257,0.3745,47.1
48651187,625000,8/29/2015,5.30E+11,SF 5000,9,2,1.75,1560,230,5000,1,1936,82,47576594,-122406230,625000,1072,1957,0.499,0,96227,0.1811,42.1
48651190,1180000,9/11/2015,5.30E+11,SF 5000,9,4,4,3320,380,4791,2,2004,82,47576812,-122405727,625000,1072,1957,0.499,0,96227,0.1811,42.1
48651212,730000,9/22/2015,5.30E+11,SF 5000,9,3,2,1830,190,3440,2,1941,82,47577765,-122402043,548600,1324,1955,0.5608,0.069,69167,0.3365,34.2
48651217,611206,5/16/2015,5.30E+11,SF 7200,9,1,1,1940,NA,6300,1,1963,82,47578214,-122400426,548600,1324,1955,0.5608,0.069,69167,0.3365,34.2
48651230,1.00E+06,8/4/2015,5.30E+11,SF 5000,9,2,2,2710,420,15200,2,1979,82,47577823,-122403705,625000,1072,1957,0.499,0,96227,0.1811,42.1
48651419,785000,9/29/2015,5.30E+11,SF 5000,9,5,3,3200,NA,6550,2,2015,NA,47548961,-122380792,448700,681,1947,0.8085,0.0591,135729,0.3582,38.5
48651435,390000,4/30/2015,5.30E+11,SF 5000,9,3,2,1640,200,5000,1,1917,NA,47548251,-122380812,448700,681,1947,0.8085,0.0591,135729,0.3582,38.5
48651451,375000,7/23/2015,5.30E+11,SF 5000,9,1,1,670,NA,6700,1,1918,NA,47547161,-122381443,448700,681,1947,0.8085,0.0591,135729,0.3582,38.5
48651452,838000,8/1/2015,5.30E+11,SF 5000,9,3,3,2136,NA,6700,2,2000,82,47547298,-122381438,448700,681,1947,0.8085,0.0591,135729,0.3582,38.5
48651476,460000,7/1/2015,5.30E+11,SF 5000,9,3,1.75,1370,NA,6550,1,1914,NA,47547281,-122380064,448700,681,1947,0.8085,0.0591,135729,0.3582,38.5
48651512,265000,5/19/2015,5.30E+11,SR6,9,3,1.75,1270,110,7313,1,1988,NA,47375211,-122181869,261500,NA,1987,0.8972,0.1743,90781,0.5417,30.8
48651523,418100,6/27/2015,5.30E+11,SFD,9,2,1.75,1210,260,6930,1,1950,NA,47534811,-122034389,228100,625,1990,0.7668,0.1246,82938,0.2885,39.7
48651527,388000,7/25/2015,5.30E+11,SFD,9,2,1,970,NA,10500,1,1952,NA,47534922,-122033612,228100,625,1990,0.7668,0.1246,82938,0.2885,39.7
48651585,385000,8/29/2015,5.30E+11,RS7200,9,3,2,2260,460,19600,2,1942,NA,47487553,-122337214,236400,807,1950,0.8329,0.0188,61067,0.137,52.5
48651670,359000,9/16/2015,5.30E+11,R8,9,3,1,2250,NA,19252,1,1949,NA,47454441,-122198655,194600,1069,1961,0.727,0,67500,0.4724,38.1
48651828,445990,6/11/2015,5.30E+11,R8,9,4,3.5,3008,580,7496,2,2015,NA,47457765,-122189272,228100,929,1975,0.6181,0.0568,60924,0.3059,37.3
48651980,666000,5/16/2015,5.30E+11,SF 5000,9,3,2,1650,NA,4000,1,1919,79,47685696,-122354084,460400,836,1939,0.7133,0.139,126016,0.4265,36.9
48651984,750000,5/9/2015,5.30E+11,SF 5000,9,4,1.5,2060,NA,4000,2,1990,79,47685697,-122353435,460400,836,1939,0.7133,0.139,126016,0.4265,36.9
48652018,995000,6/20/2015,5.30E+11,SF 5000,9,5,2.5,3080,200,4000,2,1925,NA,47614246,-122290953,650700,1038,1939,0.6162,0,80515,0.4606,35.8
48652090,270000,7/2/2015,5.30E+11,R4,9,4,2.25,1990,400,8463,2,1996,NA,47283614,-122301425,250400,1161,1985,0.638,0.0729,82933,0.4065,32.6
48652257,258400,9/5/2015,5.30E+11,RS7.2,9,4,2,1750,420,7840,2,1977,NA,47302716,-122371378,188400,755,1975,0.3949,0.0394,47591,0.6171,24.5
48652270,360000,5/2/2015,5.30E+11,SR6,9,4,2.5,2600,730,8745,2,1991,NA,47406149,-122192372,284800,NA,1988,0.9767,0.0577,109208,0.4023,38.4
48652439,273500,9/26/2015,5.30E+11,RS7.2,9,3,2,1550,460,7210,1,1983,NA,47313987,-122354468,264700,780,1985,0.6082,0.0988,72857,0.5292,31.2
48652449,260000,8/1/2015,5.30E+11,RS7.2,9,3,2,1620,480,7208,1,1981,NA,47314309,-122355763,264700,780,1985,0.6082,0.0988,72857,0.5292,31.2
48652528,265000,6/9/2015,5.30E+11,RS7.2,9,3,3,1470,230,8649,1,1983,NA,47314576,-122351585,264700,780,1985,0.6082,0.0988,72857,0.5292,31.2
48652594,227950,9/22/2015,5.30E+11,RS5.0,9,3,2,1140,530,6974,1,1986,NA,47309595,-122356382,252700,NA,1993,0.9741,0,94917,0.3657,42.3
48652606,227000,7/11/2015,5.30E+11,RS5.0,9,3,2.5,1610,460,5730,2,1986,NA,47308949,-122356463,252700,NA,1993,0.9741,0,94917,0.3657,42.3
48652637,320000,8/29/2015,5.30E+11,RS5.0,9,3,3,1689,440,6455,2,1987,NA,47310515,-122356959,264700,780,1985,0.6082,0.0988,72857,0.5292,31.2
48652639,281375,8/15/2015,5.30E+11,RS5.0,9,3,3,1910,550,8783,2,1987,NA,47310827,-122357161,264700,780,1985,0.6082,0.0988,72857,0.5292,31.2
48652657,309000,9/25/2015,5.30E+11,RS5.0,9,3,2.25,1850,440,6500,2,1986,NA,47311959,-122356752,264700,780,1985,0.6082,0.0988,72857,0.5292,31.2
48652692,260000,7/10/2015,5.30E+11,RS5.0,9,3,1.75,1440,460,10605,2,1986,NA,47310621,-122358211,264700,780,1985,0.6082,0.0988,72857,0.5292,31.2
48652772,270000,4/10/2015,5.30E+11,RS5.0,9,4,3,1750,420,6397,2,1988,NA,47308220,-122358158,252700,NA,1993,0.9741,0,94917,0.3657,42.3
48652930,289950,9/3/2015,5.30E+11,RS5.0,9,4,3,1890,490,6866,2,1992,NA,47304860,-122357677,252700,NA,1993,0.9741,0,94917,0.3657,42.3
48652978,520000,6/17/2015,5.30E+11,SF 7200,9,3,2,1200,340,8168,1,1948,NA,47702677,-122367798,313000,1028,1981,0.316,0,60231,0.3893,33.2
48652999,505000,8/15/2015,5.30E+11,SF 7200,9,3,2,1230,220,8095,1,1949,78,47704006,-122368351,313000,1028,1981,0.316,0,60231,0.3893,33.2
48653102,299000,5/9/2015,5.30E+11,RS7.2,9,4,2.5,2300,140,8100,1,1979,NA,47297926,-122370583,242400,NA,1983,0.8836,0.096,114423,0.3767,45.5
48653140,302150,8/14/2015,5.30E+11,RS7.2,9,3,2,1940,320,5950,1,1979,NA,47297119,-122369581,250400,755,1983,0.4165,0.0521,50399,0.2854,43.8
48653193,298950,7/9/2015,5.30E+11,RS7.2,9,4,1.75,2240,620,8400,1,1981,NA,47295799,-122370630,242400,NA,1983,0.8836,0.096,114423,0.3767,45.5
48653310,211000,9/22/2015,5.30E+11,RS7200,9,2,1,780,NA,9750,1,1937,NA,47481575,-122321906,207700,835,1955,0.6692,0.1177,42188,0.4229,32.9
48653416,417500,6/2/2015,5.30E+11,R6,9,3,2.25,1940,530,10310,2,1987,NA,47769138,-122240625,350000,NA,1970,1,0.1146,100694,0.3294,41
48653445,402500,5/13/2015,5.30E+11,R1,9,3,2.25,2160,400,9540,2,1979,NA,47766812,-122243025,438600,1012,1987,0.2313,0.0188,65865,0.6635,29.4
48653446,375000,7/14/2015,5.30E+11,R1,9,3,1,1410,NA,9584,1,1951,NA,47766862,-122243368,438600,1012,1987,0.2313,0.0188,65865,0.6635,29.4
48653475,285000,4/11/2015,5.30E+11,R6,9,3,2,1480,310,7117,1,1960,NA,47776642,-122247815,350000,NA,1970,1,0.1146,100694,0.3294,41
48653554,287000,7/11/2015,5.30E+11,R1,9,1,1,840,NA,63597,1,1932,NA,47767369,-122241112,203900,934,1988,0.4833,0.0793,26618,0.2444,41.8
48653605,235000,5/16/2015,5.30E+11,R1,9,2,1,1000,NA,9653,1,1942,NA,47765572,-122242006,203900,934,1988,0.4833,0.0793,26618,0.2444,41.8
48653696,630000,4/28/2015,5.30E+11,R4,9,5,4,4060,220,8309,2,2001,NA,47757021,-122228434,294000,914,1989,0.5764,0.0427,52434,0.2887,33.5
48653773,680000,4/9/2015,5.30E+11,SF 5000,9,3,1.75,1660,NA,5750,1,1909,NA,47584259,-122384682,559100,954,1943,0.7482,0,88235,0.1738,44.3
48653981,339000,8/1/2015,5.30E+11,RA10,9,1,1,1000,NA,156427,1,1960,82,47337660,-122496140,357600,NA,1972,0.9705,0.1082,90337,0.1438,51.8
48654159,533630,9/4/2015,5.30E+11,RA5SO,9,3,2.5,2720,NA,21198,2,1997,NA,47337839,-122107808,327700,848,1978,0.833,0.0212,55938,0.3202,45.3
48654166,425000,6/5/2015,5.30E+11,RA5SO,9,3,2.25,2150,540,121532,2,1988,NA,47335971,-122110828,327700,848,1978,0.833,0.0212,55938,0.3202,45.3
48654178,676000,8/29/2015,5.30E+11,RA5,9,3,3.75,2940,NA,233917,1,1984,NA,47331180,-122114241,327700,848,1978,0.833,0.0212,55938,0.3202,45.3
48654239,490000,5/13/2015,5.30E+11,RA10SO,9,3,1.75,2020,NA,215622,2,1975,NA,47418716,-122499271,384900,595,1983,0.8662,0.1566,41765,0.2776,50.4
48654373,659000,8/29/2015,5.30E+11,SF 5000,9,3,3,1640,260,2895,2,1987,NA,47673309,-122370000,395800,1498,1945,0.4347,0.0199,70263,0.1802,40.5
48654403,180000,6/5/2015,5.30E+11,R6,9,2,1,780,NA,13974,1,1918,NA,47514195,-122358766,258300,1095,1953,0.3978,0.0312,53024,0.3763,36.9
48654440,390100,6/9/2015,5.30E+11,R6,9,5,2.5,2400,400,7095,2,1967,NA,47517077,-122363672,292700,967,1965,0.8125,0.2117,61716,0.5764,33.9
48654447,373000,6/16/2015,5.30E+11,R6,9,2,1,860,NA,16320,1,1942,NA,47516076,-122365504,292700,967,1965,0.8125,0.2117,61716,0.5764,33.9
48654551,305000,7/30/2015,5.30E+11,R6,9,3,1,1300,NA,7879,1,1944,NA,47514073,-122360126,258300,1095,1953,0.3978,0.0312,53024,0.3763,36.9
48654578,369950,9/1/2015,5.30E+11,R6,9,3,1,1120,NA,6750,1,1990,NA,47504909,-122366176,381200,NA,1956,0.9659,0.0383,101053,0.2528,48.6
48654585,335000,5/13/2015,5.30E+11,R6,9,3,1.75,1260,460,17000,1,1994,79,47511345,-122361064,292700,967,1965,0.8125,0.2117,61716,0.5764,33.9
48654631,330000,7/23/2015,5.30E+11,R8,9,4,2,1610,490,18657,1,1979,NA,47513007,-122367758,292700,967,1965,0.8125,0.2117,61716,0.5764,33.9
48654674,310000,5/19/2015,5.30E+11,R6,9,3,1,1570,300,11250,1,1956,NA,47515871,-122369023,292700,967,1965,0.8125,0.2117,61716,0.5764,33.9
48654678,320000,9/16/2015,5.30E+11,R6,9,5,2,1570,NA,10000,1,1953,NA,47511611,-122363490,292700,967,1965,0.8125,0.2117,61716,0.5764,33.9
48654780,479000,7/30/2015,5.30E+11,SF 7200,9,4,2,2380,NA,7448,1,1964,79,47507921,-122375287,391000,1159,1957,0.8882,0.068,91875,0.396,43.2
48654783,422500,8/1/2015,5.30E+11,R6,9,4,2.5,2280,480,4320,1,2015,NA,47513991,-122358847,258300,1095,1953,0.3978,0.0312,53024,0.3763,36.9
48654808,540000,5/9/2015,5.30E+11,SF 7200,9,3,2.5,1970,580,14876,1,1981,NA,47503055,-122371594,391000,1159,1957,0.8882,0.068,91875,0.396,43.2
48654831,530000,5/1/2015,5.30E+11,RA5,9,3,3,2190,110,220414,1,1976,78,47504512,-122102756,530900,NA,1991,0.9349,0.1731,126000,0.5558,48.1
48654834,471000,4/4/2015,5.30E+11,RA5,9,4,3,3410,NA,57063,2,1978,78,47505379,-122109595,530900,NA,1991,0.9349,0.1731,126000,0.5558,48.1
48654872,5.00E+05,9/1/2015,5.30E+11,RA5,9,4,2.75,2500,620,43560,1,1977,78,47506848,-122101679,530900,NA,1991,0.9349,0.1731,126000,0.5558,48.1
48654901,535000,9/1/2015,5.30E+11,RA5,9,3,3,2660,860,42670,2,1991,NA,47512853,-122109797,530900,NA,1991,0.9349,0.1731,126000,0.5558,48.1
48655008,1220400,6/4/2015,5.30E+11,R4,9,4,2.25,3370,810,9411,2,1988,244,47569716,-122066044,665900,1235,1982,0.836,0.1375,135563,0.4237,35.5
48655259,376500,7/1/2015,5.30E+11,R6,9,3,1.75,1080,NA,10400,1,1953,NA,47771964,-122366253,426800,NA,1967,0.961,0.0245,97404,0.1671,49.3
48655298,629900,9/4/2015,5.30E+11,R6,9,3,2.5,2450,NA,7278,2,2001,NA,47772321,-122373973,394300,916,1967,0.6766,0.1061,81813,0.2047,55.8
48655300,475000,9/1/2015,5.30E+11,R6,9,4,2.5,2130,270,9800,1,1959,NA,47767137,-122374278,787500,1125,1960,0.9257,0,103125,0.3475,49.4
48655314,719950,7/18/2015,5.30E+11,R6,9,3,1,1590,NA,26172,2,1949,NA,47770970,-122375899,394300,916,1967,0.6766,0.1061,81813,0.2047,55.8
48655394,530000,6/20/2015,5.30E+11,R6,9,3,1.5,2000,440,8959,1,1958,NA,47770283,-122364505,387800,1262,1968,0.6629,0.0628,91336,0.4442,36.3
48655402,565000,7/8/2015,5.30E+11,R6,9,3,2.5,2280,530,5033,2,1998,NA,47770479,-122374477,394300,916,1967,0.6766,0.1061,81813,0.2047,55.8
48655406,525000,5/14/2015,5.30E+11,R6,9,4,2.75,2300,NA,26650,1,1950,NA,47776975,-122362274,426800,NA,1967,0.961,0.0245,97404,0.1671,49.3
48655460,570000,5/19/2015,5.30E+11,R6,9,4,2.5,2590,290,11250,1,1976,78,47773577,-122376114,394300,916,1967,0.6766,0.1061,81813,0.2047,55.8
48655478,699950,6/18/2015,5.30E+11,R6,9,5,3.75,3380,490,15493,2,1969,NA,47768198,-122367465,387800,1262,1968,0.6629,0.0628,91336,0.4442,36.3
48655491,615000,5/27/2015,5.30E+11,R6,9,3,1.75,2680,810,13013,1,1968,NA,47771709,-122375244,394300,916,1967,0.6766,0.1061,81813,0.2047,55.8
48655525,547000,8/27/2015,5.30E+11,R6,9,5,2.25,2470,530,15393,1,1975,NA,47768209,-122366990,387800,1262,1968,0.6629,0.0628,91336,0.4442,36.3
48655531,475000,4/4/2015,5.30E+11,R6,9,4,3,1800,580,7200,1,1979,NA,47771692,-122375605,394300,916,1967,0.6766,0.1061,81813,0.2047,55.8
48655550,5.00E+05,6/19/2015,5.30E+11,R6,9,3,2.5,1690,130,14952,1,1988,NA,47765819,-122358007,346700,943,1973,0.4712,0.1788,44149,0.2379,54.5
48655607,390000,7/29/2015,5.30E+11,R6,9,2,1.5,2080,310,16060,1,1956,NA,47767152,-122248929,438600,1012,1987,0.2313,0.0188,65865,0.6635,29.4
48655665,444000,7/9/2015,5.30E+11,R6,9,4,2,2330,NA,14400,1,1923,NA,47771535,-122232811,416900,917,1996,0.8464,0.2129,117850,0.4747,30.9
48655916,275000,6/20/2015,5.30E+11,RA5,9,2,1,1060,NA,52787,1,1976,NA,47774784,-122100448,484300,NA,1982,0.907,0.0337,87417,0.3702,38.6
48655918,665000,6/11/2015,5.30E+11,RA2.5,9,3,2.5,2090,1660,102801,3,1984,NA,47765822,-122110692,564000,NA,1984,0.9359,0.03,147094,0.4917,39.1
48655965,377000,4/4/2015,5.30E+11,R6,9,4,1.75,1800,NA,8385,1,1950,NA,47774410,-122338334,305600,920,1972,0.3592,0.103,45089,0.1633,41.5
48656121,203000,7/17/2015,5.30E+11,R4,9,3,1,1710,NA,10000,2,1946,NA,47512652,-122312086,220500,896,1956,0.7297,0,43607,0.2113,42.5
48656326,975000,8/28/2015,5.30E+11,SF 5000,9,4,2,2280,240,6047,1,2002,78,47576876,-122403733,625000,1072,1957,0.499,0,96227,0.1811,42.1
48656330,1045000,6/17/2015,5.30E+11,SF 5000,9,4,2.5,2560,400,6582,1,2015,78,47576067,-122403976,625000,1072,1957,0.499,0,96227,0.1811,42.1
48656339,759950,9/4/2015,5.30E+11,LR1,9,3,5,1890,550,3885,2,2005,NA,47578736,-122408437,625000,1072,1957,0.499,0,96227,0.1811,42.1
48656348,740000,9/12/2015,5.30E+11,SF 5000,9,4,1.75,2130,NA,7080,1,1940,NA,47577078,-122413692,497200,1161,1966,0.5072,0,63090,0.1984,45.7
48656391,1210000,6/30/2015,5.30E+11,SF 7200,9,4,1.75,2590,160,8160,1,2005,82,47574267,-122405844,625000,1072,1957,0.499,0,96227,0.1811,42.1
48656618,490000,4/30/2015,5.30E+11,SF 5000,9,3,1,1220,NA,4480,1,1925,78,47587532,-122293945,344700,478,1962,0.4659,0.0465,47321,0.2939,41.5
48656683,446500,8/14/2015,5.30E+11,SF 7200,9,2,1,1880,NA,7206,1,1905,NA,47729840,-122351182,225000,857,1997,0.1978,0.1926,30176,0.2445,36.3
48656753,498000,6/10/2015,5.30E+11,SF 7200,9,3,2.25,2080,130,7350,1,1990,NA,47728582,-122349367,225000,857,1997,0.1978,0.1926,30176,0.2445,36.3
48656875,193000,5/29/2015,5.30E+11,LDR,9,2,1,720,240,6000,1,1943,NA,47493460,-122278240,273500,836,1951,0.7162,0.1063,32500,0.3216,37.2
48656973,360000,7/25/2015,5.30E+11,LDR,9,3,2,2230,80,8460,1,2015,NA,47493985,-122272144,273500,836,1951,0.7162,0.1063,32500,0.3216,37.2
48657088,6.00E+05,5/30/2015,5.30E+11,RSA 8,9,4,2.5,2370,420,6318,2,1998,NA,47717171,-122161121,417700,676,1986,0.4959,0.0329,55054,0.5705,31.5
48657131,625000,9/25/2015,5.30E+11,R9.6,9,3,2,1340,NA,10125,1,1958,NA,47564487,-122219853,621000,2001,1960,0.7631,0.0445,139375,0.3592,45.9
48657150,850000,5/27/2015,5.30E+11,R9.6,9,3,1.75,1720,480,9525,1,1961,NA,47565113,-122221206,621000,2001,1960,0.7631,0.0445,139375,0.3592,45.9
48657168,1575000,4/25/2015,5.30E+11,R9.6,9,4,3.25,3410,660,10125,2,2007,NA,47565332,-122223317,621000,2001,1960,0.7631,0.0445,139375,0.3592,45.9
48657187,1770000,8/27/2015,5.30E+11,R9.6,9,4,4,4010,680,10125,2,2015,NA,47562083,-122223316,943100,NA,1967,0.969,0.0565,174196,0.312,52.2
48657202,720000,7/22/2015,5.30E+11,R9.6,9,4,2.25,2120,550,9841,1,1964,NA,47562282,-122221972,621000,2001,1960,0.7631,0.0445,139375,0.3592,45.9
48657207,1550000,8/21/2015,5.30E+11,R9.6,9,4,3,4060,650,10125,2,2005,NA,47563106,-122222526,621000,2001,1960,0.7631,0.0445,139375,0.3592,45.9
48657219,885000,7/29/2015,5.30E+11,R9.6,9,4,3,2340,480,9525,2,1972,NA,47562481,-122221206,621000,2001,1960,0.7631,0.0445,139375,0.3592,45.9
48657270,1244250,6/5/2015,5.30E+11,R9.6,9,3,2.5,2160,440,11430,1,2009,NA,47561702,-122218530,954000,2001,1972,0.81,0.0733,147844,0.4896,42.3
48657525,339000,8/22/2015,5.30E+11,UR,9,3,2,1100,310,15258,1,1985,79,47475457,-121754428,400900,NA,1990,0.9218,0.095,132647,0.3704,43.8
48657563,269900,4/3/2015,5.30E+11,UR,9,3,2,1140,340,22267,1,1986,NA,47476103,-121757856,400900,NA,1990,0.9218,0.095,132647,0.3704,43.8
48657564,315000,8/29/2015,5.30E+11,UR,9,3,1,1060,320,14719,1,1985,79,47476696,-121757905,400900,NA,1990,0.9218,0.095,132647,0.3704,43.8
48657787,505000,4/15/2015,5.30E+11,SF 5000,9,2,1,1000,NA,4640,1,1915,78,47565869,-122389064,362800,1047,1962,0.5681,0.0481,62109,0.2098,40.9
48657827,442500,5/22/2015,5.30E+11,RA2.5,9,3,3,1910,576,50922,1,1968,82,47484673,-122473222,397300,NA,1967,0.9167,0,69750,0.2121,52.6
48658140,598000,8/5/2015,5.30E+11,R 9600,9,4,3,2370,530,10094,2,1989,NA,47735697,-122218891,403600,1165,1987,0.7498,0.0344,91319,0.3955,40.4
48658173,575000,5/9/2015,5.30E+11,R 9600,9,3,2.5,1960,440,9535,2,1989,78,47737105,-122215307,403600,1165,1987,0.7498,0.0344,91319,0.3955,40.4
48658174,581000,8/29/2015,5.30E+11,R 9600,9,3,3,2560,400,9287,2,1989,78,47737268,-122215470,403600,1165,1987,0.7498,0.0344,91319,0.3955,40.4
48658192,638000,7/30/2015,5.30E+11,R 9600,9,3,2.5,2680,680,8214,2,1989,NA,47738980,-122216853,403600,1165,1987,0.7498,0.0344,91319,0.3955,40.4
48658204,620000,9/11/2015,5.30E+11,R 9600,9,4,3,2600,640,9195,2,1989,NA,47736946,-122220235,403600,1165,1987,0.7498,0.0344,91319,0.3955,40.4
